,0
0,Connecticut
1,Delaware
2,Hawaii
3,Idaho
4,Illinois
5,Indiana
6,Iowa
7,Kansas
8,Minnesota
9,Missouri
10,Montana
11,Nebraska
12,New Hampshire
13,New Jersey
14,New Mexico
15,Oklahoma
16,Oregon
17,Vermont
18,Wyoming
